State,Year,Value,Unemployment Rate
Alabama,2018,17.66268656716418,3.9416666666666664
Alabama,2019,18.952238805970147,3.1833333333333336
Alabama,2020,17.532835820895524,6.425
Alabama,2021,19.52537313432836,3.3666666666666667
Alaska,2018,14.60344827586207,6.041666666666667
Alaska,2019,15.175862068965518,5.591666666666666
Alaska,2020,13.42,8.308333333333334
Alaska,2021,16.436666666666667,6.433333333333334
Arizona,2018,14.986666666666668,4.808333333333334
Arizona,2019,15.906666666666666,4.808333333333334
Arizona,2020,16.42,7.841666666666666
Arizona,2021,17.673333333333336,5.075
Arkansas,2018,17.032,3.658333333333333
Arkansas,2019,19.241333333333333,3.4916666666666667
Arkansas,2020,17.598666666666666,6.2
Arkansas,2021,19.648,4.075
California,2018,13.762068965517242,4.258333333333334
California,2019,13.568965517241379,4.1000000000000005
California,2020,15.101724137931035,10.200000000000001
California,2021,16.194827586206895,7.325
Colorado,2018,12.584375,3.0500000000000003
Colorado,2019,13.1953125,2.6666666666666665
Colorado,2020,14.26875,6.766666666666667
Colorado,2021,15.60625,5.458333333333333
Connecticut,2018,12.1,3.8833333333333333
Connecticut,2019,12.825,3.608333333333333
Connecticut,2020,14.2125,7.966666666666666
Connecticut,2021,14.775,6.291666666666667
Delaware,2018,14.033333333333333,3.7083333333333335
Delaware,2019,14.6,3.591666666666667
Delaware,2020,14.066666666666668,7.508333333333333
Delaware,2021,15.266666666666667,5.5
District of Columbia,2018,12.8,5.683333333333334
District of Columbia,2019,12.2,5.4750000000000005
District of Columbia,2020,14.4,7.883333333333333
District of Columbia,2021,13.6,6.833333333333333
Florida,2018,16.132835820895522,3.65
Florida,2019,16.98805970149254,3.25
Florida,2020,16.585074626865673,8.174999999999999
Georgia,2018,15.722012578616352,4.0
Georgia,2019,18.368553459119497,3.5749999999999997
Georgia,2020,16.936477987421384,6.483333333333333
Georgia,2021,17.82138364779874,3.9166666666666665
Hawaii,2018,11.48,2.408333333333333
Hawaii,2019,12.74,2.5166666666666666
Hawaii,2020,12.16,11.858333333333334
Hawaii,2021,13.2,6.016666666666667
Idaho,2018,14.488636363636363,2.875
Idaho,2019,15.197727272727274,2.875
Idaho,2020,14.234090909090908,5.516666666666667
Idaho,2021,16.306818181818183,3.5
Illinois,2018,14.46764705882353,4.3999999999999995
Illinois,2019,15.311764705882352,3.966666666666667
Illinois,2020,13.611764705882354,9.333333333333334
Illinois,2021,16.38137254901961,6.091666666666666
Indiana,2018,15.702173913043477,3.4333333333333336
Indiana,2019,16.229347826086954,3.2916666666666665
Indiana,2020,16.34891304347826,7.341666666666666
Indiana,2021,17.316304347826087,3.891666666666667
Iowa,2018,11.919191919191919,2.5749999999999997
Iowa,2019,13.355555555555556,2.6666666666666665
Iowa,2020,14.093939393939394,5.2
Iowa,2021,15.502020202020203,3.8166666666666664
Kansas,2018,14.24,3.358333333333333
Kansas,2019,14.858095238095236,3.275
Kansas,2020,14.60857142857143,5.8500000000000005
Kansas,2021,16.022857142857145,3.3083333333333336
Kentucky,2018,18.401666666666664,4.2
Kentucky,2019,18.826666666666664,4.1
Kentucky,2020,19.346666666666668,6.449999999999999
Kentucky,2021,19.941666666666666,4.425
Louisiana,2018,17.5171875,4.825
Louisiana,2019,19.0609375,4.616666666666666
Louisiana,2020,18.3875,8.666666666666666
Louisiana,2021,19.853125,5.6000000000000005
Maine,2018,15.2625,3.1750000000000003
Maine,2019,15.8125,2.9416666666666664
Maine,2020,14.83125,5.116666666666667
Maine,2021,17.10625,4.616666666666666
Maryland,2018,12.995833333333332,3.8166666666666664
Maryland,2019,14.029166666666667,3.391666666666667
Maryland,2020,14.387500000000001,6.516666666666667
Maryland,2021,15.6875,5.316666666666666
Massachusetts,2018,13.535714285714286,3.475
Massachusetts,2019,13.714285714285714,3.016666666666667
Massachusetts,2020,14.178571428571429,9.424999999999999
Massachusetts,2021,15.714285714285714,5.5249999999999995
Michigan,2018,15.780722891566265,4.158333333333333
Michigan,2019,17.46144578313253,4.066666666666666
Michigan,2020,17.133734939759034,10.0
Michigan,2021,17.539759036144577,5.8500000000000005
Minnesota,2018,12.306896551724138,3.025
Minnesota,2019,13.286206896551725,3.25
