State,Year,Value,Unemployment Rate
South Dakota,2020,12.006060606060606,4.2250000000000005
South Dakota,2021,14.175757575757576,2.6416666666666666
Tennessee,2018,18.16526315789474,3.5
Tennessee,2019,19.063157894736843,3.341666666666667
Tennessee,2020,18.06736842105263,7.533333333333334
Tennessee,2021,19.706315789473685,4.491666666666666
Texas,2018,14.710629921259843,3.9
Texas,2019,14.987401574803151,3.525
Texas,2020,16.083858267716536,7.7250000000000005
Texas,2021,17.473622047244096,5.6499999999999995
Utah,2018,13.358620689655172,2.9166666666666665
Utah,2019,14.66551724137931,2.5416666666666665
Utah,2020,15.196551724137931,4.8500000000000005
Utah,2021,16.893103448275863,2.7583333333333333
Vermont,2018,14.200000000000001,2.4833333333333334
Vermont,2019,14.421428571428573,2.1
Vermont,2020,15.157142857142857,5.716666666666666
Vermont,2021,16.107142857142858,3.6999999999999997
Virginia,2018,14.618045112781955,3.0083333333333333
Virginia,2019,15.430075187969923,2.7583333333333333
Virginia,2020,14.669924812030075,6.508333333333333
Virginia,2021,17.004511278195487,3.8833333333333333
Washington,2018,13.866666666666665,4.425
Washington,2019,14.61025641025641,4.233333333333333
Washington,2020,15.823076923076924,8.450000000000001
Washington,2021,17.346153846153847,5.208333333333333
West Virginia,2018,19.463636363636365,5.166666666666667
West Virginia,2019,21.185454545454547,4.933333333333334
West Virginia,2020,19.347272727272724,8.275
West Virginia,2021,20.78,5.108333333333333
Wisconsin,2018,13.4375,2.975
Wisconsin,2019,14.212499999999999,3.1666666666666665
Wisconsin,2020,14.205555555555556,6.391666666666667
Wisconsin,2021,14.994444444444444,3.841666666666667
Wyoming,2018,13.095652173913043,4.058333333333333
Wyoming,2019,13.343478260869563,3.716666666666667
Wyoming,2020,13.5,5.8999999999999995
Wyoming,2021,15.52608695652174,4.625
